scientific_name,common_name,listing_location,listing_region,esa_status,group
Lampsilis virescens,Alabama lampmussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Pleuronaia gibber,Cumberland pigtoe,Wherever found,4,Endangered,Clams
Cyprogenia stegaria,Fanshell,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Fusconaia escambia,Narrow pigtoe,Wherever found,4,Threatened,Clams
Hemistena lata,Cracking pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Leptoxis ampla,Round rocksnail,Wherever found,4,Threatened,Snails
Medionidus simpsonianus,Ochlockonee moccasinshell,Wherever found,4,Endangered,Clams
Plethobasus cicatricosus,White wartyback (pearlymussel),Wherever found,4,Endangered,Clams
Epioblasma brevidens,Cumberlandian combshell,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Plethobasus cooperianus,Orangefoot pimpleback (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Epioblasma brevidens,Cumberlandian combshell,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
Epioblasma florentina walkeri (=E. walkeri),Tan riffleshell,Wherever found,4,Endangered,Clams
Quadrula cylindrica cylindrica,Rabbitsfoot,Wherever found,4,Threatened,Clams
Cambarus zophonastes,Hell Creek Cave crayfish,Wherever found,4,Endangered,Crustaceans
Palaemonias alabamae,Alabama cave shrimp,Wherever found,4,Endangered,Crustaceans
Lepyrium showalteri,Flat pebblesnail,Wherever found,4,Endangered,Snails
Epioblasma brevidens,Cumberlandian combshell,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
Fusconaia burkei,Tapered pigtoe,Wherever found,4,Threatened,Clams
Epioblasma capsaeformis,Oyster mussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Etheostoma etowahae,Etowah darter,Wherever found,4,Endangered,Fishes
Elassoma alabamae,Spring pygmy sunfish,Wherever found,4,Threatened,Fishes
Scaphirhynchus suttkusi,Alabama sturgeon,Wherever found,4,Endangered,Fishes
Hamiota subangulata,Shinyrayed pocketbook,Wherever found,4,Endangered,Clams
Pleurobema curtum,Black clubshell,Wherever found,4,Endangered,Clams
Medionidus penicillatus,Gulf moccasinshell,Wherever found,4,Endangered,Clams
Percina aurolineata,Goldline darter,Wherever found,4,Threatened,Fishes
Notropis mekistocholas,Cape Fear shiner,Wherever found,4,Endangered,Fishes
Potamilus inflatus,Inflated heelsplitter,Wherever found,4,Threatened,Clams
Etheostoma chermocki,Vermilion darter,Wherever found,4,Endangered,Fishes
Alasmidonta raveneliana,Appalachian elktoe,Wherever found,4,Endangered,Clams
Lioplax cyclostomaformis,Cylindrical lioplax (snail),Wherever found,4,Endangered,Snails
Hemistena lata,Cracking pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
Hamiota perovalis,Orangenacre mucket,Wherever found,4,Threatened,Clams
Palaemonias ganteri,Kentucky cave shrimp,Wherever found,4,Endangered,Crustaceans
Campeloma decampi,Slender campeloma,Wherever found,4,Endangered,Snails
Etheostoma chienense,Relict darter,Wherever found,4,Endangered,Fishes
Elliptio spinosa,Altamaha Spinymussel,Wherever found,4,Endangered,Clams
Noturus crypticus,Chucky Madtom,Wherever found,4,Endangered,Fishes
