scientific_name,common_name,listing_location,listing_region,esa_status,group,Url
Etheostoma phytophilum,Rush Darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/2779
Etheostoma rubrum,Bayou darter,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/5864
Etheostoma scotti,Cherokee darter,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/2553
Etheostoma spilotum,Kentucky arrow darter,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/9063
Etheostoma susanae,Cumberland darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/1011
Etheostoma trisella,Trispot darter,Wherever found,4,Threatened,Fishes,https://ecos.fws.gov/ecp/species/8219
Etheostoma wapiti,Boulder darter,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/5398
Etheostoma wapiti,Boulder darter,Shoal Creek,4,"Experimental Population, Non-Essential",Fishes,https://ecos.fws.gov/ecp/species/5398
Fundulus julisia,Barrens topminnow,Wherever found,4,Endangered,Fishes,https://ecos.fws.gov/ecp/species/5045
Fusconaia burkei,Tapered pigtoe,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/5046
Fusconaia cor,Shiny pigtoe,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/2573
Fusconaia cor,Shiny pigtoe,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/2573
Fusconaia cor,Shiny pigtoe,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/2573
Fusconaia cuneolus,Finerayed pigtoe,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/3038
Fusconaia cuneolus,Finerayed pigtoe,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/3038
Fusconaia cuneolus,Finerayed pigtoe,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/3038
Fusconaia escambia,Narrow pigtoe,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/5040
Fusconaia masoni,Atlantic pigtoe,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/5164
Fusconaia subrotunda,Longsolid,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/9880
Hamiota altilis,Finelined pocketbook,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/1393
Hamiota australis,Southern Sandshell,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/2551
Hamiota perovalis,Orangenacre mucket,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/1980
Hamiota subangulata,Shinyrayed pocketbook,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/6517
Hemistena lata,Cracking pearlymussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/4130
Hemistena lata,Cracking pearlymussel,U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams,https://ecos.fws.gov/ecp/species/4130
Hemistena lata,Cracking pearlymussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/4130
Lampsilis powellii,Arkansas fatmucket,Wherever found,4,Threatened,Clams,https://ecos.fws.gov/ecp/species/2213
Lampsilis rafinesqueana,Neosho Mucket,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/3788
Lampsilis streckeri,Speckled pocketbook,Wherever found,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/7869
Lampsilis virescens,Alabama lampmussel,Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams,https://ecos.fws.gov/ecp/species/916
