County,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed. Status,State Status,Habitat,Wet Habitat Flag
Sequatchie,Invertebrate Animal,Crustacean,Cambarus pristinus,Pristine Crayfish,G2,S2,--,E,Under cover in small-large size streams; headwaters of Caney Fork River & abutting Sequatchie River tributaries; Cumberland Plateau.,Aquatic
Sevier,Invertebrate Animal,Insect,Allocapnia brooksi,Sevier Snowfly,G2,S2,--,"Rare, Not State Listed",Small-medium size creeks; northern Ridge & Valley and adj. Blue Ridge; upper Tennessee River watershed.,Aquatic
Sevier,Vertebrate Animal,Fish,Acipenser fulvescens,Lake Sturgeon,G3G4,S1,--,E,"Bottoms of large, clean rivers and lakes.",Aquatic
Sevier,Invertebrate Animal,Mollusc,Dromus dromas,Dromedary Pearlymussel,G1,S1,"LE, XN",E,"Medium-large rivers with riffles and shoals w/ relatively firm rubble, gravel, and stable substrates; Tennessee & Cumberland systems.",Aquatic
Sevier,Vertebrate Animal,Amphibian,Desmognathus abditus,Cumberland Dusky Salamander,G2G3,S2S3,--,D,Assoc. with streams of Cumberland Plateau; under rocks along small streams or adj. cover; Morgan & Grundy counties.,Aquatic
Sevier,Invertebrate Animal,Mollusc,Cyprogenia stegaria,Fanshell,G1,S1,"LE, XN",E,Medium to large streams and rivers with coarse sand and gravel substrates; Cumberland and Tennessee river systems.,Aquatic
Sevier,Vertebrate Animal,Fish,Cycleptus elongatus,Blue Sucker,G3G4,S2,--,T,Swift waters over firm substrates in big rivers.,Aquatic
Sevier,Vertebrate Animal,Amphibian,Cryptobranchus alleganiensis,Hellbender,G3,S3,--,E,"Rocky, clear creeks and rivers with large shelter rocks.",Aquatic
Sevier,Vertebrate Animal,Fish,Chrosomus tennesseensis,Tennessee Dace,G3,S3,--,D,First order spring-fed streams of woodlands in Ridge and Valley limestone region; Tennessee River watershed.,Aquatic
Sevier,Vertebrate Animal,Fish,Carpiodes velifer,Highfin Carpsucker,G4G5,S2S3,--,D,"Large rivers, mostly in Tennessee River drainage.",Aquatic
Sevier,Vertebrate Animal,Amphibian,Eurycea junaluska,Junaluska Salamander,G2G3,S2,--,D,"Beneath rocks along medium to large streams; S Blue Ridge; Monroe, Blount, & Sevier counties.",Aquatic
Sevier,Invertebrate Animal,Mollusc,Obovaria retusa,Ring Pink,G1,S1,"LE,XN",E,Large rivers in gravel and sand bars; Tennessee & Cumberland river watersheds; many historic locations currently inundated.,Aquatic
