YEAR,CLASS,SCIENTIFIC NAME,COMMON NAME,GLOBAL RANK,STATE RANK,FEDERAL STATUS,STATE STATUS,,,,,,,,,
2003,Fishes,Noturus elegans,elegant madtom,G4,SH,,,,,,,,,,,
2003,Fishes,Noturus eleutherus,mountain madtom,G4,S1,,,,,,,,,,,
2003,Fishes,Noturus exilis,slender madtom,G5,S3,,,,,,,,,,,
2003,Fishes,Noturus flavus,highlands stonecat,G5,S1,,,,,,,,,,,
2003,Fishes,Noturus miurus,brindled madtom,G5,S1,,,,,,,,,,,
2003,Fishes,Noturus munitus,frecklebelly madtom,G3,S2                                 SP,,,,,,,,,,,
2003,Fishes,Noturus nocturnus,freckled madtom,G5,S3,,,,,,,,,,,
2003,Freshwater Mussels,Actinonaias ligamentina,a mucket,G5,S2,,,,,,,,,,,
2003,Freshwater Mussels,Actinonaias pectorosa,pheasantshell,G4,SH,,,,,,,,,,,
2003,Freshwater Mussels,Alasmidonta marginata,elktoe,G4,SH,,,,,,,,,,,
2003,Freshwater Mussels,Alasmidonta triangulata,southern elktoe,G2Q,S?,,,,,,,,,,,
2003,Freshwater Mussels,Alasmidonta undulata,triangle floater,G4,S3,,,,,,,,,,,
2003,Freshwater Mussels,Alasmidonta viridis,slippershell mussel,G4G5,S1,,SP,,,,,,,,,
2003,Freshwater Mussels,Amblema elliottii,Coosa fiveridge,G3,S3?,,,,,,,,,,,
2003,Freshwater Mussels,Amblema plicata,three-ridge,G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Anodonta heardi,Apalachicola floater,G1,S?,,,,,,,,,,,
2003,Freshwater Mussels,Anodonta suborbiculata,flat floater,G5,S4,,,,,,,,,,,
2003,Freshwater Mussels,Anodontoides radiatus,rayed creekshell,G3,S1S2,,,,,,,,,,,
2003,Freshwater Mussels,Arcidens confragosus,rock-pocketbook,G4,S3,,,,,,,,,,,
2003,Freshwater Mussels,Cyclonaias tuberculata,purple wartyback,G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Cyprogenia stegaria,fanshell,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Dromus dromas,dromedary pearlymussel,G1,S1,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Ellipsaria lineolata,butterfly,G4,S3,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio arca,Alabama spike,G3,S2,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio arctata,delicate spike,G4Q,S2,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio chipolaensis,Chipola slabshell,G2Q,S1,LT,SP,,,,,,,,,
2003,Freshwater Mussels,Elliptio complanata,eastern elliptio,G5,S3,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio crassidens,elephant-ear,G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio dilatata,spike,G5,S1,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio fraterna,brother spike,G1G2Q,S1,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio icterina,variable spike,G4Q,S4,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio lanceolata,yellow lance,G2G3,S2S3,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio mcmichaeli,fluted elephant-ear,G3,S2,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio nigella,winged spike,GH,SH,,,,,,,,,,,
2003,Freshwater Mussels,Elliptio purpurella,inflated spike,G3,S1,,,,,,,,,,,
2003,Freshwater Mussels,Elliptoideus sloatianus,purple bankclimber,G2,S1,LT,SP,,,,,,,,,
2003,Freshwater Mussels,Epioblasma brevidens,Cumberlandian combshell,G1,S1,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Epioblasma capsaeformis,oyster mussel,G1,S1,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Epioblasma florentina florentina,yellow blossom,G1TX,SX,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Epioblasma florentina walkeri,tan riffleshell,G1T1,SX,LE,,,,,,,,,,
2003,Freshwater Mussels,Epioblasma metastriata,upland combshell,GH,SH,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Epioblasma obliquata obliquata,catspaw,G1T1,SX,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Epioblasma othcaloogensis,southern acornshell,GHQ,SH,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Epioblasma penita,southern combshell,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Epioblasma torulosa torulosa,tubercled blossom,G2TX,SX,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Epioblasma triquetra ,snuffbox ,G3 ,S1 ,,,,,,,,,,,
2003,Freshwater Mussels,Epioblasma turgidula,turgid blossom,GH,SX,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Fusconaia barnesiana,Tennessee pigtoe ,G2G3 ,S1 ,,,,,,,,,,,
2003,Freshwater Mussels,Fusconaia cerina,southern pigtoe,G4G5,S4,,,,,,,,,,,
2003,Freshwater Mussels,Fusconaia cor,shiny pigtoe,G1,S1,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Fusconaia cuneolus,fine-rayed pigtoe,G1,S1,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Fusconaia ebena,ebonyshell,G4G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Fusconaia escambia,narrow pigtoe,G2,S2,,SP,,,,,,,,,
2003,Freshwater Mussels,Fusconaia flava,Wabash pigtoe,G5,S1S2,,,,,,,,,,,
2003,Freshwater Mussels,Fusconaia rotulata,round ebonyshell,G1,S1,,,,,,,,,,,
2003,Freshwater Mussels,Fusconaia subrotunda,long-solid,G3,S1,,,,,,,,,,,
2003,Freshwater Mussels,Fusconaia succissa,purple pigtoe,G3,S3,,,,,,,,,,,
2003,Freshwater Mussels,Glebula rotundata ,round pearlshell ,G4G5 ,S3 ,,,,,,,,,,,
2003,Freshwater Mussels,Hemistena lata,cracking pearlymussel,G1,SX,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Lampsilis abrupta,pink mucket,G2,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Lampsilis altilis,fine-lined pocketbook,G2,S2,LT,SP,,,,,,,,,
2003,Freshwater Mussels,Lampsilis australis,southern sandshell,G2,S1S2,,SP,,,,,,,,,
2003,Freshwater Mussels,Lampsilis binominata,lined pocketbook,GH,SX,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis cardium,plain pocketbook,G5,S2S3,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis fasciola,wavy-rayed lampmussel,G4,S1S2,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis haddletoni,Haddleton lampmussel,GHQ,SH,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis hydiana,Louisiana fatmucket,G3G4,S2,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis ornata,southern pocketbook,G5,S4,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis ovata,pocketbook,G5,S4,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis perovalis,orange-nacre mucket,G2,S1,LT,SP,,,,,,,,,
2003,Freshwater Mussels,Lampsilis straminea,rough fatmucket,G5,S2?,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis straminea claibornensis,southern fatmucket,G5T5,S3,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis straminea straminea,rough fatmucket,G5T3,S2,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis subangulata,shiny-rayed pocketbook,G2,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Lampsilis teres ,yellow sandshell ,G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Lampsilis virescens,Alabama lampmussel,G1,S1,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Lasmigona complanata,white heelsplitter,G5,S?,,,,,,,,,,,
2003,Freshwater Mussels,Lasmigona complanata alabamensis,Alabama heelsplitter,G5T2T3,S3,,,,,,,,,,,
2003,Freshwater Mussels,Lasmigona complanata complanata,white heelsplitter,G5T5,S3,,,,,,,,,,,
2003,Freshwater Mussels,Lasmigona costata,fluted-shell,G5,S2,,,,,,,,,,,
2003,Freshwater Mussels,Lasmigona holstonia,Tennessee heelsplitter,G3,S1S2,,,,,,,,,,,
2003,Freshwater Mussels,Lasmigona subviridis,green floater,G3,S?,,,,,,,,,,,
2003,Freshwater Mussels,Lemiox rimosus,birdwing pearlymussel,G1,SX,LE,,,,,,,,,,
2003,Freshwater Mussels,Leptodea fragilis,fragile papershell,G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Leptodea leptodon,scaleshell,G1,SX,PE,,,,,,,,,,
2003,Freshwater Mussels,Lexingtonia dolabelloides,slabside pearlymussel,G2,S1,C,SP,,,,,,,,,
2003,Freshwater Mussels,Ligumia recta,black sandshell,G5,S2,,,,,,,,,,,
2003,Freshwater Mussels,Ligumia subrostrata,pondmussel,G4G5,S3,,,,,,,,,,,
2003,Freshwater Mussels,Medionidus acutissimus,Alabama moccasinshell,G1,S1,LT,SP,,,,,,,,,
2003,Freshwater Mussels,Medionidus conradicus,Cumberland moccasinshell,G3G4,S1,,SP,,,,,,,,,
2003,Freshwater Mussels,Medionidus parvulus,Coosa moccasinshell,G1,S1S2,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Medionidus penicillatus,Gulf moccasinshell,G2,S1S2,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Megalonaias nervosa,washboard,G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Obliquaria reflexa,threehorn wartyback,G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Obovaria jacksoniana,southern hickorynut,G1G2,S2,,,,,,,,,,,
2003,Freshwater Mussels,Obovaria olivaria,hickorynut,G4,SH,,,,,,,,,,,
2003,Freshwater Mussels,Obovaria retusa,ring pink,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Obovaria rotulata,round ebonyshell,G1,S1,,,,,,,,,,,
2003,Freshwater Mussels,Obovaria subrotunda,round hickorynut,G4,S2,,,,,,,,,,,
2003,Freshwater Mussels,Obovaria unicolor,Alabama hickorynut,G3,S2,,,,,,,,,,,
2003,Freshwater Mussels,Pegias fabula,little-wing pearlymussel,G1,SX,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Plectomerus dombeyanus,bankclimber,G4,S4,,,,,,,,,,,
2003,Freshwater Mussels,Plethobasus cicatricosus,white wartyback,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Plethobasus cooperianus,orange-foot pimpleback,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Plethobasus cyphyus,sheepnose,G3,S1,,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema altum,highnut,GH,SH,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema avellanum,hazel pigtoe,GH,SH,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema chattanoogaense,painted clubshell,G1G2,S1 ,C,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema clava,clubshell,G2,SX,LE-XN21,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema cordatum,Ohio pigtoe,G3,S2,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema curtum,black clubshell,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema decisum,southern clubshell,G1G2,S1S2,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema flavidulum,yellow pigtoe,G1Q,SX,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema furvum,dark pigtoe,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema georgianum,southern pigtoe,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema hagleri,brown pigtoe,G1,S1,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema hanleyianum,Georgia pigtoe,GHQ,SH,C,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema johannis,Alabama pigtoe,GH,SH,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema marshalli,flat pigtoe,GH,SH,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema murrayense,Coosa pigtoe,GH,SH,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema nucleopsis,longnut,GH,SH,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema oviforme,Tennessee clubshell,G3,S1,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema perovatum,ovate clubshell,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema plenum,rough pigtoe,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema pyriforme,oval pigtoe,G2,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema rubellum,warrior pigtoe,GH,SH,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema rubrum,pyramid pigtoe,G2,S2,,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema sintoxia,round pigtoe,G4,S1,,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema strodeanum,fuzzy pigtoe,G2,S1S2,,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema taitianum,heavy pigtoe,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Pleurobema troschelianum,Alabama clubshell,G1,SH,C,,,,,,,,,,
2003,Freshwater Mussels,Pleurobema verum,true pigtoe,GH,SH,,,,,,,,,,,
2003,Freshwater Mussels,Potamilus alatus,pink heelsplitter,G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Potamilus inflatus,inflated heelsplitter,G1,S1,LT,SP,,,,,,,,,
2003,Freshwater Mussels,Potamilus ohiensis,pink papershell,G5,S3,,,,,,,,,,,
2003,Freshwater Mussels,Potamilus purpuratus,bleufer,G5,S5,,,,,,,,,,,
2003,Freshwater Mussels,Ptychobranchus fasciolaris,kidneyshell,G4G5,S1,,,,,,,,,,,
2003,Freshwater Mussels,Ptychobranchus greenii,triangular kidneyshell,G1,S1,LE,SP,,,,,,,,,
2003,Freshwater Mussels,Ptychobranchus jonesi,southern kidneyshell,G1,S1,,SP,,,,,,,,,
2003,Freshwater Mussels,Ptychobranchus subtentum,fluted kidneyshell,G4,SX,C,,,,,,,,,,
2003,Freshwater Mussels,Pyganodon cataract,eastern floater,G5,S3,,,,,,,,,,,
